Comarca,Entidades
Val d'Aran,1
Alta Ribagorça,41
Terra Alta,61
Pallars Jussà,83
Solsonès,85
Priorat,88
Pallars Sobirà,94
Conca de Barberà,99
Cerdanya,128
Segarra,128
Alt Urgell,131
Ripollès,142
Ribera d'Ebre,143
Pla de l'Estany,144
Garrigues,152
Urgell,168
Alt Camp,170
Pla d'Urgell,213
Garrotxa,216
Noguera,223
Berguedà,231
Baix Penedès,285
Montsià,315
Baix Ebre,318
Alt Penedès,346
Garraf,379
Anoia,424
Alt Empordà,475
Baix Empordà,496
Gironès,534
Osona,562
Baix Camp,565
Selva,569
Bages,593
Tarragonès,710
Segrià,824
Vallès Oriental,1132
Maresme,1174
Baix Llobregat,1725
Vallès Occidental,1874
Barcelonès,3921
